Amount,Category,Description,Date
458513.4,Utilities,Mansion-wide smart home automation,2027-05-25 00:00:00
78013.75,Fashion,Handcrafted Italian leather shoes,2025-11-17 00:00:00
444177.2,Entertainment,Private screening of latest blockbuster,2027-02-23 00:00:00
85184.53,Fashion,Diamond-encrusted Rolex watch,2025-08-24 00:00:00
260973.56,Fashion,Limited edition Gucci sneakers,2023-05-03 00:00:00
177009.7,Entertainment,Super Bowl VIP skybox tickets,2027-07-06 00:00:00
104830.1,Others,Exclusive access to the Met Gala,2025-12-28 00:00:00
84190.75,Others,Personalized diamond-studded MacBook,2025-07-09 00:00:00
191549.17,Education,Exclusive mentorship with a billionaire,2024-07-31 00:00:00
46614.25,Fashion,Limited edition Gucci sneakers,2026-06-28 00:00:00
69942.58,Entertainment,VIP Coachella backstage access,2023-04-14 00:00:00
287473.42,Fashion,Diamond-encrusted Rolex watch,2026-12-12 00:00:00
419537.08,Food,Luxury yacht dining experience,2026-10-13 00:00:00
84237.94,Food,Private chef for home gourmet meals,2023-01-17 00:00:00
56337.63,Others,Custom-built limited edition Ferrari,2024-02-28 00:00:00
176949.82,Food,Michelin-star restaurant dining,2025-04-14 00:00:00
409337.0,Education,Oxford law school semester fees,2023-12-10 00:00:00
333678.56,Food,Exclusive truffle tasting event,2026-05-31 00:00:00
33775.63,Fashion,Handcrafted Italian leather shoes,2025-11-07 00:00:00
191910.5,Groceries,Luxury olive oil shipment from Tuscany,2027-11-28 00:00:00
270107.16,Food,Luxury yacht dining experience,2023-05-12 00:00:00
107305.3,Utilities,Customized private island power grid,2026-07-17 00:00:00
212202.33,Entertainment,Private screening of latest blockbuster,2023-04-12 00:00:00
368888.53,Fashion,Paris Fashion Week front-row seats,2026-04-24 00:00:00
440707.98,Others,Exclusive access to the Met Gala,2027-05-24 00:00:00
41890.66,Education,Private space exploration training,2024-11-12 00:00:00
170844.24,Food,Fine wine and cheese pairing event,2025-08-04 00:00:00
342623.52,Entertainment,Private screening of latest blockbuster,2026-05-24 00:00:00
31450.05,Others,Exclusive access to the Met Gala,2023-02-16 00:00:00
366842.39,Food,Fine wine and cheese pairing event,2027-03-09 00:00:00
70277.36,Education,Private space exploration training,2027-07-27 00:00:00
434937.37,Education,Private space exploration training,2024-12-25 00:00:00
454946.63,Food,Exclusive truffle tasting event,2025-06-19 00:00:00
499969.98,Utilities,Mansion-wide smart home automation,2026-09-21 00:00:00
70118.55,Groceries,Premium Japanese Wagyu beef,2027-02-25 00:00:00
16957.97,Others,Private jet interior luxury upgrade,2026-03-16 00:00:00
234148.16,Entertainment,Super Bowl VIP skybox tickets,2026-09-01 00:00:00
496062.18,Education,Private space exploration training,2025-09-23 00:00:00
130725.69,Others,Exclusive access to the Met Gala,2027-03-06 00:00:00
435683.15,Utilities,Private solar panel installation,2027-07-28 00:00:00
143178.13,Groceries,Luxury olive oil shipment from Tuscany,2023-07-07 00:00:00
325568.85,Education,Business leadership course at Stanford,2024-12-06 00:00:00
233479.09,Utilities,Customized private island power grid,2026-05-11 00:00:00
479350.5,Others,Custom-built limited edition Ferrari,2023-09-23 00:00:00
79528.12,Utilities,Luxury climate-controlled wine cellar,2024-01-13 00:00:00
55383.15,Food,Fine wine and cheese pairing event,2024-06-11 00:00:00
97915.25,Education,Exclusive mentorship with a billionaire,2025-09-05 00:00:00
359229.86,Education,Harvard MBA tuition fee,2025-07-27 00:00:00
261225.05,Utilities,Customized private island power grid,2024-01-13 00:00:00
143846.41,Food,Fine wine and cheese pairing event,2025-09-08 00:00:00
360339.77,Groceries,Vintage Napa Valley wine collection,2023-12-29 00:00:00
163645.79,Entertainment,VIP Coachella backstage access,2024-10-14 00:00:00
306621.01,Groceries,Premium Japanese Wagyu beef,2024-07-04 00:00:00
186230.61,Fashion,Paris Fashion Week front-row seats,2025-06-24 00:00:00
446676.59,Fashion,Diamond-encrusted Rolex watch,2026-04-10 00:00:00
299498.33,Others,Handcrafted Persian rug for mansion,2027-08-09 00:00:00
7660.15,Fashion,Handcrafted Italian leather shoes,2023-10-19 00:00:00
51743.16,Education,Oxford law school semester fees,2023-04-29 00:00:00
200874.0,Fashion,Custom-tailored Armani tuxedo,2026-05-16 00:00:00
162714.89,Groceries,Premium Japanese Wagyu beef,2024-02-24 00:00:00
110851.35,Education,Exclusive mentorship with a billionaire,2024-12-15 00:00:00
442372.71,Others,Custom-built limited edition Ferrari,2024-05-08 00:00:00
385776.42,Food,Private chef for home gourmet meals,2026-09-16 00:00:00
126801.11,Fashion,Limited edition Gucci sneakers,2026-12-06 00:00:00
30919.25,Groceries,Freshly imported French truffles,2023-04-17 00:00:00
117312.16,Fashion,Custom-tailored Armani tuxedo,2027-12-06 00:00:00
102297.88,Utilities,Private solar panel installation,2026-12-10 00:00:00
422572.75,Fashion,Handcrafted Italian leather shoes,2025-06-27 00:00:00
463857.34,Entertainment,Personalized music concert experience,2027-05-29 00:00:00
40559.4,Food,Michelin-star restaurant dining,2024-07-24 00:00:00
491606.24,Others,Private jet interior luxury upgrade,2025-07-11 00:00:00
272489.46,Food,Luxury yacht dining experience,2026-02-09 00:00:00
120939.61,Entertainment,VIP Coachella backstage access,2026-03-23 00:00:00
13706.79,Food,Luxury yacht dining experience,2025-08-07 00:00:00
400200.07,Education,Oxford law school semester fees,2024-03-14 00:00:00
318376.02,Fashion,Paris Fashion Week front-row seats,2025-05-25 00:00:00
402831.7,Others,Private jet interior luxury upgrade,2026-07-14 00:00:00
459506.48,Entertainment,VIP Coachella backstage access,2027-03-30 00:00:00
65243.14,Education,Exclusive mentorship with a billionaire,2023-05-12 00:00:00
54044.12,Entertainment,Personalized music concert experience,2026-03-25 00:00:00
337799.98,Education,Private space exploration training,2025-04-18 00:00:00
120340.84,Food,Michelin-star restaurant dining,2027-06-03 00:00:00
402272.84,Utilities,Private solar panel installation,2026-07-18 00:00:00
275352.03,Food,Michelin-star restaurant dining,2026-05-15 00:00:00
53093.36,Utilities,Private solar panel installation,2024-04-28 00:00:00
321178.78,Entertainment,Exclusive F1 Monaco Grand Prix suite,2027-08-21 00:00:00
445567.8,Food,Fine wine and cheese pairing event,2024-04-11 00:00:00
65838.06,Entertainment,Personalized music concert experience,2023-06-15 00:00:00
74123.16,Others,Handcrafted Persian rug for mansion,2025-08-06 00:00:00
87642.35,Others,Handcrafted Persian rug for mansion,2027-06-15 00:00:00
181487.25,Education,Business leadership course at Stanford,2027-09-12 00:00:00
297511.19,Utilities,Customized private island power grid,2027-09-14 00:00:00
246579.64,Education,Oxford law school semester fees,2026-10-02 00:00:00
39354.04,Fashion,Handcrafted Italian leather shoes,2024-11-16 00:00:00
291632.22,Others,Exclusive access to the Met Gala,2027-02-25 00:00:00
185758.88,Entertainment,Private screening of latest blockbuster,2025-06-05 00:00:00
104184.83,Education,Exclusive mentorship with a billionaire,2027-04-28 00:00:00
193509.73,Education,Harvard MBA tuition fee,2026-07-14 00:00:00
330340.39,Others,Private jet interior luxury upgrade,2026-04-30 00:00:00
490125.97,Food,Fine wine and cheese pairing event,2026-08-16 00:00:00
212392.74,Entertainment,Personalized music concert experience,2025-02-03 00:00:00
397303.09,Utilities,High-speed fiber optic internet bill,2024-01-09 00:00:00
326389.02,Groceries,Luxury olive oil shipment from Tuscany,2024-11-02 00:00:00
319884.59,Others,Custom-built limited edition Ferrari,2026-08-27 00:00:00
83674.91,Food,Michelin-star restaurant dining,2026-02-13 00:00:00
254356.67,Education,Harvard MBA tuition fee,2023-02-10 00:00:00
423474.14,Food,Michelin-star restaurant dining,2025-12-28 00:00:00
121812.48,Fashion,Paris Fashion Week front-row seats,2023-03-20 00:00:00
470856.54,Others,Handcrafted Persian rug for mansion,2027-04-20 00:00:00
107108.8,Others,Handcrafted Persian rug for mansion,2025-11-10 00:00:00
441035.95,Fashion,Diamond-encrusted Rolex watch,2024-07-12 00:00:00
329544.66,Utilities,High-speed fiber optic internet bill,2023-09-01 00:00:00
241955.67,Groceries,Premium Japanese Wagyu beef,2024-05-16 00:00:00
139225.08,Groceries,Premium Japanese Wagyu beef,2023-03-26 00:00:00
82331.15,Entertainment,Personalized music concert experience,2025-12-25 00:00:00
20574.99,Fashion,Limited edition Gucci sneakers,2024-04-11 00:00:00
259878.83,Entertainment,VIP Coachella backstage access,2024-10-10 00:00:00
424584.57,Education,Private space exploration training,2026-11-29 00:00:00
251119.79,Education,Private space exploration training,2027-01-11 00:00:00
419051.54,Education,Business leadership course at Stanford,2025-10-25 00:00:00
452461.09,Entertainment,Super Bowl VIP skybox tickets,2026-07-23 00:00:00
77061.15,Utilities,Luxury climate-controlled wine cellar,2025-03-01 00:00:00
228011.87,Entertainment,Private screening of latest blockbuster,2023-04-22 00:00:00
142962.71,Others,Personalized diamond-studded MacBook,2026-01-19 00:00:00
87955.3,Utilities,Luxury climate-controlled wine cellar,2025-06-02 00:00:00
379647.98,Groceries,Luxury olive oil shipment from Tuscany,2026-04-23 00:00:00
117567.88,Others,Exclusive access to the Met Gala,2025-08-27 00:00:00
351284.0,Utilities,Customized private island power grid,2026-08-20 00:00:00
334691.43,Education,Exclusive mentorship with a billionaire,2024-09-23 00:00:00
304760.91,Groceries,Exclusive organic farm produce delivery,2026-12-16 00:00:00
163379.32,Entertainment,Personalized music concert experience,2027-01-03 00:00:00
323185.42,Groceries,Premium Japanese Wagyu beef,2027-06-15 00:00:00
301427.63,Others,Private jet interior luxury upgrade,2025-03-04 00:00:00
159249.68,Entertainment,Personalized music concert experience,2025-12-30 00:00:00
264007.37,Education,Exclusive mentorship with a billionaire,2026-03-27 00:00:00
124603.33,Fashion,Limited edition Gucci sneakers,2026-09-06 00:00:00
432739.24,Food,Luxury yacht dining experience,2027-04-04 00:00:00
23320.62,Others,Personalized diamond-studded MacBook,2026-12-24 00:00:00
255310.74,Groceries,Premium Japanese Wagyu beef,2026-11-16 00:00:00
486919.06,Utilities,Mansion-wide smart home automation,2023-01-05 00:00:00
423873.55,Fashion,Limited edition Gucci sneakers,2026-02-18 00:00:00
287930.73,Utilities,Mansion-wide smart home automation,2027-07-12 00:00:00
214987.2,Food,Exclusive truffle tasting event,2025-03-30 00:00:00
464136.27,Utilities,High-speed fiber optic internet bill,2023-11-12 00:00:00
270939.02,Fashion,Paris Fashion Week front-row seats,2026-01-07 00:00:00
391451.81,Others,Private jet interior luxury upgrade,2026-09-12 00:00:00
242767.29,Entertainment,Super Bowl VIP skybox tickets,2026-10-12 00:00:00
283209.12,Fashion,Limited edition Gucci sneakers,2027-05-16 00:00:00
304356.21,Education,Harvard MBA tuition fee,2025-07-29 00:00:00
422808.69,Fashion,Handcrafted Italian leather shoes,2027-12-20 00:00:00
283197.89,Entertainment,Private screening of latest blockbuster,2026-11-09 00:00:00
318966.58,Utilities,Mansion-wide smart home automation,2023-11-02 00:00:00
330311.6,Education,Exclusive mentorship with a billionaire,2025-02-15 00:00:00
297974.58,Entertainment,Personalized music concert experience,2027-01-01 00:00:00
144303.09,Groceries,Vintage Napa Valley wine collection,2024-12-18 00:00:00
290248.4,Utilities,Luxury climate-controlled wine cellar,2026-11-12 00:00:00
298357.24,Education,Business leadership course at Stanford,2023-09-20 00:00:00
135141.95,Utilities,Customized private island power grid,2023-10-05 00:00:00
497804.31,Others,Handcrafted Persian rug for mansion,2024-08-16 00:00:00
287512.42,Fashion,Limited edition Gucci sneakers,2023-06-29 00:00:00
27110.13,Entertainment,Exclusive F1 Monaco Grand Prix suite,2026-08-05 00:00:00
158559.33,Entertainment,VIP Coachella backstage access,2027-10-25 00:00:00
200764.3,Groceries,Vintage Napa Valley wine collection,2023-08-11 00:00:00
215930.98,Fashion,Diamond-encrusted Rolex watch,2026-06-05 00:00:00
198808.64,Groceries,Freshly imported French truffles,2024-06-21 00:00:00
144569.23,Entertainment,Exclusive F1 Monaco Grand Prix suite,2024-04-10 00:00:00
412656.52,Utilities,Luxury climate-controlled wine cellar,2023-12-10 00:00:00
395889.1,Food,Luxury yacht dining experience,2024-10-26 00:00:00
390330.59,Groceries,Luxury olive oil shipment from Tuscany,2024-03-29 00:00:00
279247.18,Education,Exclusive mentorship with a billionaire,2023-05-10 00:00:00
206097.64,Utilities,Mansion-wide smart home automation,2027-10-04 00:00:00
439694.77,Others,Personalized diamond-studded MacBook,2023-07-15 00:00:00
490547.74,Education,Exclusive mentorship with a billionaire,2024-01-26 00:00:00
377341.38,Groceries,Premium Japanese Wagyu beef,2024-10-08 00:00:00
421459.56,Others,Custom-built limited edition Ferrari,2025-03-27 00:00:00
62730.87,Fashion,Limited edition Gucci sneakers,2024-02-22 00:00:00
276360.5,Others,Private jet interior luxury upgrade,2026-01-27 00:00:00
307744.8,Food,Fine wine and cheese pairing event,2024-11-24 00:00:00
218409.8,Utilities,Luxury climate-controlled wine cellar,2024-03-09 00:00:00
482311.51,Entertainment,Private screening of latest blockbuster,2027-05-20 00:00:00
333598.54,Utilities,Mansion-wide smart home automation,2027-01-19 00:00:00
338994.39,Food,Private chef for home gourmet meals,2026-11-25 00:00:00
442220.56,Education,Harvard MBA tuition fee,2025-06-24 00:00:00
464800.37,Groceries,Freshly imported French truffles,2024-01-08 00:00:00
482015.27,Utilities,Mansion-wide smart home automation,2026-05-14 00:00:00
170645.36,Entertainment,Super Bowl VIP skybox tickets,2024-08-24 00:00:00
88565.68,Groceries,Luxury olive oil shipment from Tuscany,2024-01-24 00:00:00
164255.06,Others,Private jet interior luxury upgrade,2027-11-19 00:00:00
9126.28,Education,Oxford law school semester fees,2024-09-22 00:00:00
106059.95,Food,Fine wine and cheese pairing event,2024-01-25 00:00:00
466945.26,Education,Oxford law school semester fees,2024-09-09 00:00:00
29510.99,Education,Oxford law school semester fees,2025-04-21 00:00:00
86750.71,Entertainment,Personalized music concert experience,2027-04-02 00:00:00
122744.25,Groceries,Freshly imported French truffles,2026-01-27 00:00:00
34345.55,Education,Private space exploration training,2023-04-08 00:00:00
52701.35,Food,Luxury yacht dining experience,2024-10-20 00:00:00
101464.1,Food,Michelin-star restaurant dining,2024-09-09 00:00:00
9357.94,Others,Handcrafted Persian rug for mansion,2023-05-02 00:00:00
342144.8,Food,Luxury yacht dining experience,2026-07-06 00:00:00
153845.71,Education,Harvard MBA tuition fee,2027-05-26 00:00:00
364585.44,Others,Handcrafted Persian rug for mansion,2026-09-07 00:00:00
114035.9,Education,Private space exploration training,2026-04-27 00:00:00
316325.79,Entertainment,Exclusive F1 Monaco Grand Prix suite,2026-02-26 00:00:00
74717.52,Education,Private space exploration training,2024-07-16 00:00:00
246010.86,Education,Private space exploration training,2024-11-17 00:00:00
96526.3,Entertainment,Personalized music concert experience,2024-03-12 00:00:00
416955.54,Others,Exclusive access to the Met Gala,2027-01-20 00:00:00
182154.13,Groceries,Exclusive organic farm produce delivery,2024-11-23 00:00:00
257223.48,Others,Personalized diamond-studded MacBook,2023-01-03 00:00:00
346402.75,Fashion,Paris Fashion Week front-row seats,2024-08-13 00:00:00
198953.34,Groceries,Premium Japanese Wagyu beef,2025-02-04 00:00:00
356640.28,Fashion,Paris Fashion Week front-row seats,2027-04-09 00:00:00
318030.39,Fashion,Limited edition Gucci sneakers,2024-01-01 00:00:00
150662.2,Entertainment,Private screening of latest blockbuster,2027-10-30 00:00:00
